gameId,game,exclude,exclusion_reason
frdh7smGPLbRZRBpK,game32,y,pilot
e6T8wCGggaf2sCrp9,game33,y,pilot
vvixEFckM7QPWS4im,game34,y,pilot
J5o4w9N9MYsAkebwF,game35,y,pilot
wSXZRwkNxz7fDGeyd,game36,y,pilot
5WPekHjNG898YuMXe,game41,,
hueqkSoqSjYjcD9En,game42,,
Ce897yATiBxGr92Xo,game44,,
A7RxNsfTJqTwfBejN,game45,,
5T8wESy34MKBRkBJr,game46,,
X3KGngsmofwhPuzW2,game47,,
bcszyeDMyWZqFeMBh,game48,,
kduAREQdY39j2SgoC,game49,,
9uKTejKqe3TNXkfAW,game50,,
SowubDEr7fQNBP6te,game51,,
D5CPASpy5Aj3aZNtS,game52,,
gpcp9tLA4Gep4QYpt,game53,y,insufficient trials
baPLK5TnMYMSDvksA,game54,,
qL2AxZnRykJWLDA7H,game55,,
Yrc2wiX7ZxZFS2wX6,game56,,
XWpuLuSnNumcHxf7w,game57,,
xCqhPo6f65u6PJhy3,game58,,
ymmWkP9LexXqZPujp,game59,,
8PWtSpgpocS3Jvzph,game60,,
gF7PeenLLsSHsF4CG,game61,,
agWGBnw35ByLviSnF,game62,y,insufficient trials
euCvEekqCAQC9sfav,game63,,
